Ancestor,Annotator,Applications-detailed,Applications,Backdrive Friction,MatchedDevice,Matched,Claimed Properties,Continuous Force *,Cost,D1,D2,D3,D4,D5,D6,Device,Device Index,Device Model Video,DoF Types,Drive,Embedded Video,F32,F33,F74,Fabricability,Force Resolution,Friction,Full Name,Further information,HTTP Video,Human Interface,ImageLink,Images,Inertia at tip,Interaction Interface,Links (material??),Max. object stiffness (Reported) *,Max/Min Force  (Dyn. Range),Mechanism,Naming,Nominal Spatial Resolution,Notes,NumberOfDoF,Num Links-status,NumLinks,NumMotors,Num Other DoF,Num Rotational DoF,Num Translational DoF,Number of Citations,Number of Records,Obtainability,Paper Title,Paper type,Passive or Active Device,PeakForceNewton,Peak Force - Status,Peak Force - detailed,Peak Force Classification,Peak Torque (Nm) - derived,Peak Torque Classification,Pivot Field Names,Application Tag,Portability,ProductType,Qualitative tags,Refresh Rate,Repairability,Response,Robustness,To include,UX Attribute,UX Rating-2,Venue,Video Info2,Video Info,Video Link,VideoAvailable,Workspace Classification,Workspace Size *,Year,citation till Jan 2018,random,RotationalWorkspace,TranslationalWorkspace,DoFTypeIndex,ApplicationTagIndex,Application Tag,,,Device
delta-based,HS+FF,"medical and space robotics,micro and nano manipulators, teleoperation consoles,virtual simulations,training systems, research","virtual reality, medical robotics, space robotics, micro manipulators, teleoperation, training systems, research",,Delta.6,TRUE,"hand-centered,gravity compensation,automatic calibration,velocity monitoring,electromagnetic damping",,Ask for quote,40,40,26,44,44,44,Delta.6,11,,"Translational, Rotational",6 motors,https://www.youtube.com/embed/hB0TGrpSc4o,,,0,Low,,,delta.6,,http://www.youtube.com/v/hB0TGrpSc4o,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,"a knob-like handle
1 programmable button","8 links (with ground) ( the real number is more but considering  parallel, active and equal links I reached to 8)
3 revolute joints (with ground)
6 joints which has 2 DoF
3 external Dof on the plate
Dof= 7*6-3*5-6*4+3=6",,,Parallel,original,"translation 0.02 mm 
rotation < 0.04 deg",Force dimension Inc.,6,Estimated,15,6,0,3,3,N/A,1,High,delta.6,,Active,20,Reported,"translation 20.0 N 
rotation 150 mNm",High,0.15,Low,Application tags-1,medical robotics,High,Commercial Product,"hand-centered,gravity compensation,automatic & driftless calibration,velocity monitoring,electromagnetic damping",refresh rate up to 4 KHz,Low,,High,1,Repairability,Low,Webpage,hapturk.mp4,hapturk.mp4,,No,Medium,"translation ∅ 400 x 260 mm
rotation ± 22 deg",2009,40,,Small: < 120 degrees,Medium: < 60cm,3,a4,medical robotics,,,Delta.6
Omega,GH,A specification page in the website,,,NONE,,,,Cheap,10,10,10,0,0,0,Falcon,33,,Translational,,https://www.youtube.com/embed/6IhQnWb44zk,,,0,Low,,,Falcon,,http://www.youtube.com/v/6IhQnWb44zk,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,a spherical handle,three metal links,,,Parallel,original,0.625 mm (160 counts per cm),Novint Inc,3,Reported,9,3,0,0,3,N/A,1,High,Falcon,,Active,9,Reported,9 N,Medium,0,N/A,Application tags-1,None,High,Commercial Product,,,Low,,High,1,Portability,High,Webpage,iswc16-cameraready.mp4,iswc16-cameraready.mp4,,No,Small,100 x 100 x 100 mm,2007,40,,N/A: 0 degrees,Small: < 20cm,1,a1,None,,,Falcon
Parallel delta based,HS+FF,"medical and space robotics,micro and nano manipulators, teleoperation consoles,virtual simulations,training systems, research","medical robotics, micro manipulators, teleoperation, virtual reality, training systems, research",,Omega.3,TRUE,"active gravity compensation,automatic calibration, velocity monitoring,
electromagnetic damping",,Ask for quote,16,16,11,0,0,0,Omega.3,7,,Translational,Estimated,https://www.youtube.com/embed/4OFa6MJRr58,,,1,Medium,,,omega.3,,http://www.youtube.com/v/4OFa6MJRr58,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,"a spherical handle
1 programmable button",anodized aluminum frame,closed-loop 14.5 N/mm,,Parallel,original,translation < 0.01 mm,Force dimension Inc.,3,estimate,8,3,0,0,3,N/A,1,High,omega.3,,Active,12,Reported,translation 12.0 N,Medium,0,N/A,Application tags-1,medical robotics,High,Commercial Product,"active gravity compensation,automatic & driftless calibration, velocity monitoring,
electromagnetic damping",refresh rate up to 4 KHz,Low,,High,1,Portability,High,Webpage,hapturk.mp4,hapturk.mp4,https://drive.google.com/file/d/17iI4YijS61dkoBex2A-l4LlmGkWIjGxg/view,No,Small,translation: ∅ 160 x 110 mm,2007,40,,N/A: 0 degrees,Small: < 20cm,1,a4,medical robotics,,,Omega.3
DELTA,GP+FF,virtual sphere was displayed using a simple spring model (K = 1.0 N/mm) and a trajectory of the end-effector was measured.,,,NONE,,"small footprint, redundant actuation, hand-centered,","50 N (Translation)
0.7 Nm (Rotation)",High,50,50,20,160,160,160,DELTA-4,12,,"Translational, Rotational",Four direct AC servo motors installed in a base plate,https://www.youtube.com/embed/6IhQnWb44zk,,,0,Medium,,,DELTA-4,A haptic device DELTA-4: Kinematics and its analysis,http://www.youtube.com/v/6IhQnWb44zk,"One-handed, Bimanual",,https://volgadarinous.github.io/Carousel/site/index.html,"3 N (from a free-hand motion test, with approximately 150 mm/sec speed)",a metal grasping unit with 3 DoF rotation mechanism and 1 DoF grasping mechanism,Two arms are connected in parallel and each arm has two actuators connected in parallel,"7.03, 6.10, 6.54 N/mm (X, Y, Z)",,Parallel,original,"Linear 0.01mm
Angular 0.01 deg",,6,Estimated,11,7,0,3,3,22,1,Low,Development of a haptic device “DELTA-4” using parallel link mechanism,1,Active,50,Estimated,,Very High,0.7,Low,Application tags-1,None,Medium,Research Prototype,gravity compensation,1 kHz,Low,,Medium,1,Obtainability,Low,ICRA,VibVizVideo.mp4,VibVizVideo.mp4,,No,Medium,"translation φ500 × L200 mm
rotation ±80×±80×±80 deg",2009,22,,Medium: < 240 degrees,Medium: < 60cm,3,a1,None,,,DELTA-4
Rice haptic paddle,GH,"A friction drive required a larger motor spool which made reduced inertia compared to the capstan drive
Showed high stiffness with high damping and it guarantees the stabilizing effect on virtual environments with low virtual damping.",education,,Haptic Paddle,TRUE,,,Cheap,-5,0,0,0,0,0,Haptic Paddle,31,,Translational,Pittman 9434 15.1 V DC motor,https://www.youtube.com/embed/4OFa6MJRr58,,,1,High,,,haptic paddle,,http://www.youtube.com/v/4OFa6MJRr58,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,a donut-shaped handle,friction drives,"In rotational unit: 15 Nm/rad
Linear unit: 3500 N/m",,Serial,original,12 bits,,1,Estimated,2,1,0,0,1,8,1,Low,Design and Characterization of a Haptic Paddle for Dynamics Education,1,Active,-20,Missing,,Missing,0,N/A,Application tags-1,education,High,Research Prototype,"affordable,high stiffness,high damping,low virtual damping,stability",1 kHz,High,,Medium,1,Portability,High,HAPTICS,hapturk.mp4,hapturk.mp4,https://drive.google.com/file/d/1HuvsxWwc8pPi4-4tf8nOcLt--uAfkSph/view,No,Small,No report,2014,8,,N/A: 0 degrees,Small: < 20cm,1,a8,education,,,Haptic Paddle
ETHZ haptic paddle,GH,This paper mainly focused on the teaching evaluation using the haptic paddle.,education,,ETHZ Haptic Paddle,TRUE,,,Cheap,-5,0,0,0,0,0,ETHZ Haptic Paddle,32,,Translational,"Maxon brushed DC motor, RE 25 339156",https://www.youtube.com/embed/hB0TGrpSc4o,,,0,High,,,ETHZ haptic paddle,,http://www.youtube.com/v/hB0TGrpSc4o,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,a donut-shaped handle,capstan/cable transmission,,,Serial,original,,,1,Estimated,2,1,0,0,1,17,1,Low,Physical student–robot interaction with the ETHZ Haptic Paddle,2,Active,-20,Missing,,Missing,0,N/A,Application tags-1,education,High,Research Prototype,stability,500 Hz,High,,High,1,Fabricability,High,IEEE Transactions on Education,hapturk.mp4,hapturk.mp4,,No,Missing,No report,2013,17,,N/A: 0 degrees,Missing,1,a8,education,,,ETHZ Haptic Paddle
,GP,,rehabilitation,,Theradrive,TRUE,low-cost,,,0,0,0,270,0,0,Theradrive,20,,Rotational,a 2-pole brushed DC motor,https://www.youtube.com/embed/hB0TGrpSc4o,,,0,Medium,609 N (45 Nm),,Theradrive (Modified Logitec Wheel),,http://www.youtube.com/v/hB0TGrpSc4o,Bimanual,,https://volgadarinous.github.io/Carousel/site/index.html,144N/cm,Driving wheel,Crank handle,,,Serial,original,0.3125 mm (calculated from 32 counts per cm),,1,Estimated,1,1,0,1,0,11,1,Low,Design and Development of an Affordable Haptic Robot with Force Feedback and Compliant Actuation to Improve Therapy for Patients with Severe Hemiparesis,3,Active,222,Reported,,Very High,45,Very High,Application tags-1,rehabilitation,Low,Research Prototype,customizable,1 kHz,Medium,,Medium,1,Obtainability,Low,IEEE Transactions on Haptics,hapturk.mp4,hapturk.mp4,,No,Large,270-degree circular arc with a darius of 200 mm,2014,11,,Large: < 360 degrees,N/A: 0cm,2,a9,rehabilitation,,,Theradrive
"Haptic Paddle
(first developed at 
Stanford University 
and now under further
 development at 
Johns Hopkins University)",FF,#NAME?,"research, teleoperation, synthesizer keyboard, education",,iTouch Motor,TRUE,"low-cost, easy-to-build",,Very Cheap,0,0,0,30,0,0,iTouch Motor,21,,Rotational,"they build their
 own motor 
(iTouch motor)",https://www.youtube.com/embed/6IhQnWb44zk,,,0,High,,,iTouch Motor,,http://www.youtube.com/v/6IhQnWb44zk,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,"users generally rest
 their wrist on the 
housing/magnet assembly
 and extend their fingers
 to rest on the end of the 
crescent-shaped handle","crescent-shaped handle
 laser-cut Plexiglas",, Max torque 0.202 Nm,Serial,original,,,1,Estimated,2,1,0,1,0,53,1,Low,Haptic interface for hands on instruction in system dynamics and embedded control,,Active,0,Reported,,N/A,0.202,Low,Application tags-1,research,High,Research Prototype,,,High,between 0.5 and 20 Hz,Medium,1,Portability,High,HAPTICS,iswc16-cameraready.mp4,iswc16-cameraready.mp4,,No,N/A,30  degrees,2003,53,,Small: < 120 degrees,N/A: 0cm,2,b1,research,,,iTouch Motor
,FF,#NAME?,rehabilitation,,The Box,TRUE,"low-cost, robust, easy-to-build",5.4 Nm torque,Cheap,0,0,0,360,0,0,The Box,22,,Rotational,"RE35 35mm
diameter brushed 
Maxon motor
 rated at 90 Watts.
pair of Berg sprocket 
gears and a cable-chain",https://www.youtube.com/embed/4OFa6MJRr58,,,0,High,,,The Box,,http://www.youtube.com/v/4OFa6MJRr58,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,Knob," Plexiglas, wood",,,Serial,original,,,1,Estimated,1,1,0,1,0,53,1,Low,Haptic interface for hands on instruction in system dynamics and embedded control,,Active,0,Reported,,N/A,5.4,Medium,Application tags-2,rehabilitation,High,Research Prototype,,,High,,Medium,1,Portability,High,HAPTICS,hapturk.mp4,hapturk.mp4,,No,N/A,,2003,53,,Large: < 360 degrees,N/A: 0cm,2,a9,rehabilitation,,,The Box
,GP+FF,a force-feedback controller for the telemanipulation from earth to the device in space,"space robotics, teleoperation",,Rjo,TRUE,,,High,10.31,10.31,0,0,0,0,Rjo,17,,Translational,"two brushless DC motors, one in each axis",https://www.youtube.com/embed/hB0TGrpSc4o,,,0,Medium,,,Raumfahrttauglicher Joystick,,http://www.youtube.com/v/hB0TGrpSc4o,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,a graspable joystic,"made out of aluminium and provide an electrically
 conductive surface (electroless nickel coating)",1.57 Nm/rad,,Serial,original,,DLR force feedback joystick,2,Estimated,2,2,0,0,2,4,1,Low,KONTUR-2 MISSION: THE DLR FORCE FEEDBACK JOYSTICK FOR SPACE TELEMANIPULATION FROM THE ISS,2,Active,15,Reported,15 N,Medium,2.25,Medium,Application tags-1,space robotics,Medium,Research Prototype,,1 kHz,Medium,,High,1,Robustness,High,IROS,hapturk.mp4,hapturk.mp4,,No,Medium,±20 deg on each axis,2016,4,,N/A: 0 degrees,Medium: < 60cm,1,b2,space robotics,,,Rjo
,GP,rehabilitation for patients,rehabilitation,,MOTORE,TRUE,,,,108,72,0,0,0,0,MOTORE,19,,Translational,Three DC motors,https://www.youtube.com/embed/4OFa6MJRr58,,,0,Medium,,,MObile roboT for upper limb neurOrtho Rehabilitation,,http://www.youtube.com/v/4OFa6MJRr58,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,0.1086825 kg m^2, a circular handle on the arm support,,1 kN/m,,Other,original,0.03 mm,,2,Estimated,2,3,0,0,2,4,1,Low,Portable Haptic Interface with Omni-Directional Movement and Force Capability,1,Active,15,Reported,15N,Medium,0,N/A,Application tags-1,rehabilitation,High,Research Prototype,"portable,lightweight",10 kHz,Medium,,Medium,1,Portability,High,IEEE Transactions on Haptics,hapturk.mp4,hapturk.mp4,,No,Large,"Not limited for its mobility
(In experiment, 1080x720mm)",2014,4,,N/A: 0 degrees,Large: > 60cm,1,a9,rehabilitation,,,MOTORE
,GP+FF,"teleoperation, virtual reality",virtual reality,,Virtuose 3D,TRUE,"hand-centered, safe, high stiffness",11 - 18 N (by directions),High,92,49,42,0,0,0,Virtuose 3D,15,,"Translational, Rotational",Three brushless DC motors,https://www.youtube.com/embed/6IhQnWb44zk,,,1,Medium,0.4 N,0.3 - 0.6 N (by directions),Virtuose 3D,,http://www.youtube.com/v/6IhQnWb44zk,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,a metallic bar-type grip,"Structure: Decoupled actuation scheme with mobile motors (DMM)
Linkage: aluminum with linear mass of 150 g/m","electrical: 2350 - 6000 N/m (by directions)
mechanical: 3650 - 7500 N/m (by directions)",,Serial,original,,,6,Estimated,7,3,0,3,3,8,1,High,Design of VIRTUOSE 3D: a new haptic interface for teleoperation and virtual reality,1 (mainly 2),Active,55,Reported,34 - 55 N (by directions),High,0,N/A,Application tags-2,virtual reality,Low,Research Prototype,intrinsically safe,,Low,,High,1,Repairability,Low,ICRA,VibVizVideo.mp4,VibVizVideo.mp4,https://drive.google.com/file/d/1DujwrA1Sp5wnFaEZuv8NPn6tTzxglz4J/view,No,Large,"total: 420x490x920 mm
useful: 300x300x300 mm",2001,8,,N/A: 0 degrees,Large: > 60cm,3,a2,virtual reality,,,Virtuose 3D
